mse_survey_question
"MSE Domain: Appearance, Behavior and Cooperation – Item : Grooming and hygiene (abnormal)"
"MSE Domain: Appearance, Behavior and Cooperation – Item :  Eye contact (abnormal)"
"MSE Domain: Appearance, Behavior and Cooperation – Item :  Psychomotor retardation or bradykinesia "
"MSE Domain: Appearance, Behavior and Cooperation – Item :  Psychomotor activation or akathisia "
"MSE Domain: Appearance, Behavior and Cooperation – Item :  Physical proximity or distance (abnormal)"
"MSE Domain: Appearance, Behavior and Cooperation – Item :  Stereotypies or mannerisms"
"MSE Domain: Appearance, Behavior and Cooperation – Item :  Tics"
"MSE Domain: Appearance, Behavior and Cooperation – Item : Tremor"
MSE Domain: Speech – Item :  Slowed or delayed
MSE Domain: Speech – Item :  Prolonged latency to response 
MSE Domain: Speech – Item :  Prosody (decreased)
MSE Domain: Speech – Item : Pressured
MSE Domain: Thought Process A: Coherence – Item :  Circumstantial or tangential 
MSE Domain: Thought Process A: Coherence – Item :  Loosening of associations 
MSE Domain: Thought Process A: Coherence – Item :  Neologism
MSE Domain: Thought Process A: Coherence : Thought Process A Coherence – Item : Word salad
MSE Domain: Thought Process B: Speed – Item :  Mutism
MSE Domain: Thought Process B: Speed – Item :  Thought blocking
MSE Domain: Thought Process B: Speed – Item :  Racing thoughts 
MSE Domain: Thought Process B: Speed – Item :  Flight of ideas 
MSE Domain: Thought Content A: Delusions – Item : Paranoid
MSE Domain: Thought Content A: Delusions – Item :  Of reference 
MSE Domain: Thought Content A: Delusions – Item :  Somatic
MSE Domain: Thought Content A: Delusions – Item :  Grandiose
MSE Domain: Thought Content A: Delusions – Item :  Of control
MSE Domain: Thought Content B: Obsessions – Item :  Contamination or environmental concerns
MSE Domain: Thought Content B: Obsessions – Item :  Somatic or illness
MSE Domain: Thought Content B: Obsessions – Item :  Aggressive or sexual  or forbidden thoughts or loss of control
MSE Domain: Thought Content B: Obsessions – Item :   Pathological doubting 
MSE Domain: Thought Content C: Compulsions  – Item :  Cleaning  or washing
MSE Domain: Thought Content C: Compulsions  – Item :  Checking or seeking reassurance
MSE Domain: Thought Content C: Compulsions  – Item :  Ordering  or organizing
MSE Domain: Thought Content C: Compulsions  – Item :  Saving or Hoarding 
"MSE Domain: Affect and Mood – Item :  Constricted range of affect, flat"
MSE Domain: Affect and Mood – Item :  Anhedonic
"MSE Domain: Affect and Mood – Item :  Expansive range of affect, wide"
MSE Domain: Affect and Mood – Item :  Inappropriate and or labile affect
MSE Domain: Affect and Mood – Item :  Euphoric or hypomanic or manic
MSE Domain: Perceptions – Item :  Auditory hallucination
MSE Domain: Perceptions – Item :  Visual hallucination or illusion or misperception
MSE Domain: Perceptions – Item :  Tactile hallucination
MSE Domain: Perceptions – Item :  Responding to internal stimuli
MSE Domain: Suicidality – Item :  Suicidal ideation (active or passive)
MSE Domain: Suicidality – Item :  Homicidal ideation
